,Sample-1,Sample-2,Sample-3
1,8.26319892184338,6.95442207900104,7.74547607818308
9,6.35291564045206,7.15161713219475,8.71186563637116
10,6.23576459057019,6.93354568279328,7.26546934920666
12,11.5982271530025,8.063471729543,9.54616830156275
13,5.58059788596991,5.7190548651745,5.61807913093307
14,10.5277479277323,9.92222682350172,10.1159651649467
15,5.10495737214272,5.00797865465415,4.88151569930983
16,11.4247708925267,11.2807001777141,10.6631742577204
100859921,4.32825258768626,4.67875310669306,4.38777642371708
21,8.98113599115146,8.76038209816559,8.16991431215227
22,8.42422577719889,8.57325088281333,9.01158540631798
23,10.2383348228499,10.855498548008,10.4924261717622
131096,4.18746812947245,5.62393070024293,4.11752757065003
25,9.35940366805456,9.59147168792907,10.3556515342367
26,5.97893715753452,10.9377222752501,5.53818970305635
29,8.09921678344205,9.02742102838798,7.32358495440161
30,9.82955400505693,8.80782269627302,9.21258574622648
34,11.1251757790034,12.350359289532,10.8407476021308
35,8.11405388530049,8.21217397524905,7.94029649841134
37,11.1778465300574,11.5409365469672,11.076295754669
39,9.61326670094899,9.69538687669629,8.90620489803737
40,6.05021264415061,9.36947792715734,5.83678824817459
48,10.0857220287336,9.27844242064756,8.51346459055892
49,7.15627392964386,7.09029171850469,6.6344902179951
53,8.18051241363008,9.6872195311614,9.13566046436731
54,7.99579113582608,8.397323631862,9.70653502534185
55,5.00452233563623,5.22249648034714,5.25223273886264
58,8.41776209107226,5.71216090367478,7.59668066770585
59,13.1342766184921,12.4742683798404,12.3726208636226
69,8.83309860848665,8.83309860848665,8.8560545096318
70,8.68933880201238,8.51826816194888,8.46506661409944
81,11.8283145244907,11.369413816572,11.9656361522781
86,10.7323604116423,11.582301173762,10.6199305697073
89,6.55271019091273,6.4122476112648,6.41773755186667
90,11.6618679268278,10.3475798342581,9.83571420368173
163933,6.30624355991491,6.3218852362888,6.5074077993274
94,6.70813114516039,6.87983637838122,6.37128755493369
97,8.27749769410079,10.7315813857658,7.55326140377131
98,8.98170282470039,8.0481024167769,7.28051806872473
101,7.20643936282306,7.65004110067351,7.59594011473743
103,12.0048313991515,11.37793291001,12.3919508344023
131177,7.49787740044673,7.57455538135759,7.63313425620443
112,9.24988924611815,9.76914153743142,9.9710674837989
114,6.15432382443127,6.23661235305437,6.17599585710047
116,5.79612244590536,8.22797474088448,6.19800011716188
124,5.39346646616377,5.25016955498662,5.2374306439541
126,4.52028794141404,4.41854584943001,4.88731288003377
130,4.87751547420162,4.79633813289134,5.04789883480267
131,5.69864163219827,5.66741524613918,5.78883442824144
196740,6.85126824750963,7.23451030323237,7.03476010530288
133,8.35571746193324,8.52297009438338,9.32609329722146
102465666,7.69521684626257,7.88692755120185,8.55622528309012
